date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,has_basement,log_price,log_sqft_living,log_sqft_lot
13-10-2014,221900.0,3,1,1180,5650,1.0,0,0,3,7,1180,0,1955,0,98178,47.5112,-122.257,1340,5650,Sem Porão,12.309986615445005,7.074116816197362,8.639587799629844
09-12-2014,538000.0,3,2,2570,7242,2.0,0,0,3,7,2170,400,1951,1991,98125,47.721,-122.319,1690,7639,Com Porão,13.195615697878253,7.852050207265889,8.887790764195326
25-02-2015,180000.0,2,1,770,10000,1.0,0,0,3,6,770,0,1933,0,98028,47.7379,-122.233,2720,8062,Sem Porão,12.100717685412471,6.647688373563329,9.210440366976517
09-12-2014,604000.0,4,3,1960,5000,1.0,0,0,5,7,1050,910,1965,0,98136,47.5208,-122.393,1360,5000,Com Porão,13.311331132544721,7.581209826196346,8.517393171418904
18-02-2015,510000.0,3,2,1680,8080,1.0,0,0,3,8,1680,0,1987,0,98074,47.6168,-122.045,1800,7503,Sem Porão,13.1421679654829,7.427144133408616,8.997270906233448
12-05-2014,1225000.0,4,4,5420,101930,1.0,0,0,3,11,3890,1530,2001,0,98053,47.6561,-122.005,4760,101930,Com Porão,14.018452218287162,8.598035579260339,11.532051392768706
27-06-2014,257500.0,3,2,1715,6819,2.0,0,0,3,7,1715,0,1995,0,98003,47.3097,-122.327,2238,6819,Sem Porão,12.458778882573533,7.447751280047908,8.827614750837508
15-01-2015,291850.0,3,1,1060,9711,1.0,0,0,3,7,1060,0,1963,0,98198,47.4095,-122.315,1650,9711,Sem Porão,12.583998677043747,6.966967138613983,9.181117513299279
15-04-2015,229500.0,3,1,1780,7470,1.0,0,0,3,7,1050,730,1960,0,98146,47.5123,-122.337,1780,8113,Com Porão,12.343662665771719,7.484930283289661,8.918784137975802
12-03-2015,323000.0,3,2,1890,6560,2.0,0,0,3,7,1890,0,2003,0,98038,47.3684,-122.031,2390,7570,Sem Porão,12.685410698175234,7.544861068658458,8.788898309344878
03-04-2015,662500.0,3,2,3560,9796,1.0,0,0,3,8,1860,1700,1965,0,98007,47.6007,-122.145,2210,8925,Com Porão,13.403777346275337,8.177796683277778,9.189831495344642
27-05-2014,468000.0,2,1,1160,6000,1.0,0,0,4,7,860,300,1942,0,98115,47.69,-122.292,1330,6000,Com Porão,13.056225711649638,7.057036981697891,8.699681400989514
28-05-2014,310000.0,3,1,1430,19901,1.5,0,0,4,7,1430,0,1927,0,98028,47.7558,-122.229,1780,12697,Sem Porão,12.644330802262578,7.266128779556451,9.898575508175107
07-10-2014,400000.0,3,1,1370,9680,1.0,0,0,4,7,1370,0,1977,0,98074,47.6127,-122.045,1370,10208,Sem Porão,12.899222326086994,7.223295679562314,9.177920480720072
12-03-2015,530000.0,5,2,1810,4850,1.5,0,0,3,7,1810,0,1900,0,98107,47.67,-122.394,1360,4850,Sem Porão,13.180634172318978,7.501634457883413,8.486940148245216
24-01-2015,650000.0,4,3,2950,5000,2.0,0,3,3,9,1980,970,1979,0,98126,47.5714,-122.375,2140,4000,Com Porão,13.384729180332174,7.989899374942939,8.517393171418904
31-07-2014,395000.0,3,2,1890,14040,2.0,0,0,3,7,1890,0,1994,0,98019,47.7277,-121.962,1890,14018,Sem Porão,12.886643575525625,7.544861068658458,9.549736900114642
29-05-2014,485000.0,4,1,1600,4300,1.5,0,0,4,7,1600,0,1916,0,98103,47.6648,-122.343,1610,4300,Sem Porão,13.091906231773164,7.3783837129967145,8.366602832783736
05-12-2014,189000.0,2,1,1200,9850,1.0,0,0,4,7,1200,0,1921,0,98002,47.3089,-122.21,1060,5095,Sem Porão,12.149507585033072,7.0909098220799835,9.19532825185568
24-04-2015,230000.0,3,1,1250,9774,1.0,0,0,4,7,1250,0,1969,0,98003,47.3343,-122.306,1280,8850,Sem Porão,12.345838935721968,7.1316985104669115,9.187583384853566
14-05-2014,385000.0,4,1,1620,4980,1.0,0,0,4,7,860,760,1947,0,98133,47.7025,-122.341,1400,4980,Com Porão,12.861001210669146,7.390798521735676,8.513385953073284
26-08-2014,2000000.0,3,2,3050,44867,1.0,0,4,3,9,2330,720,1968,0,98040,47.5316,-122.233,4110,20336,Com Porão,14.508658238524095,8.02322468471667,10.711480124765114
03-07-2014,285000.0,5,2,2270,6300,2.0,0,0,3,8,2270,0,1995,0,98092,47.3266,-122.169,2240,7005,Sem Porão,12.560247968016562,7.7279755421055585,8.748463629942055
16-05-2014,252700.0,2,1,1070,9643,1.0,0,0,3,7,1070,0,1985,0,98030,47.3533,-122.166,1220,8386,Sem Porão,12.43996225063003,6.976348070447749,9.174091239301061
20-11-2014,329000.0,3,2,2450,6500,2.0,0,0,4,8,2450,0,1985,0,98030,47.3739,-122.172,2200,6865,Sem Porão,12.703816069256568,7.804251383528112,8.77971129020447
03-11-2014,233000.0,3,2,1710,4697,1.5,0,0,5,6,1710,0,1941,0,98002,47.3048,-122.218,1030,4705,Sem Porão,12.358798024384122,7.444833273892193,8.454892165218858
26-06-2014,937000.0,3,1,2450,2691,2.0,0,0,3,8,1750,700,1915,0,98119,47.6386,-122.36,1760,3573,Com Porão,13.75043962845585,7.804251383528112,7.898039690764619
01-12-2014,667000.0,3,1,1400,1581,1.5,0,0,5,8,1400,0,1909,0,98112,47.6221,-122.314,1860,3861,Sem Porão,13.410546824147012,7.244941546337007,7.366445148327599
24-06-2014,438000.0,3,1,1520,6380,1.0,0,0,3,7,790,730,1948,0,98115,47.695,-122.304,1520,6235,Com Porão,12.989976472461,7.327123292259293,8.761080103868347
02-03-2015,719000.0,4,2,2570,7173,2.0,0,0,3,8,2570,0,2005,0,98052,47.7073,-122.11,2630,6026,Sem Porão,13.4856180275228,7.852050207265889,8.878218658092228
10-11-2014,580500.0,3,2,2320,3980,2.0,0,0,3,8,2320,0,2003,0,98027,47.5391,-122.07,2580,3980,Sem Porão,13.271646802771485,7.749753406274437,8.289288323000317
01-12-2014,280000.0,2,1,1190,1265,3.0,0,0,3,7,1190,0,2005,0,98133,47.7274,-122.357,1390,1756,Sem Porão,12.54254845357358,7.0825485693553,7.143617602704121
24-06-2014,687500.0,4,1,2330,5000,1.5,0,0,4,7,1510,820,1929,0,98117,47.6823,-122.368,1460,5000,Com Porão,13.44081856306726,7.754052639035757,8.517393171418904
10-11-2014,535000.0,3,1,1090,3000,1.5,0,0,4,8,1090,0,1929,0,98117,47.6889,-122.375,1570,5080,Sem Porão,13.190023895035274,6.994849985833071,8.006700845440367
03-12-2014,322500.0,4,2,2060,6659,1.0,0,0,3,7,1280,780,1981,0,98058,47.4276,-122.157,2020,8720,Com Porão,12.683861515988351,7.630946580890459,8.803874763534434
13-06-2014,696000.0,3,2,2300,3060,1.5,0,0,3,8,1510,790,1930,2002,98115,47.6827,-122.31,1590,3264,Com Porão,13.453106376097134,7.741099090035366,8.026496938945412
28-05-2014,550000.0,4,1,1660,34848,1.0,0,0,1,5,930,730,1933,0,98052,47.6621,-122.132,2160,11467,Com Porão,13.217675375388819,7.415175109613295,10.458779721372386
30-12-2014,640000.0,4,2,2360,6000,2.0,0,0,4,8,2360,0,1904,0,98107,47.6702,-122.362,1730,4700,Sem Porão,13.369225017834633,7.766840537085513,8.699681400989514
13-02-2015,240000.0,4,1,1220,8075,1.0,0,0,2,7,890,330,1969,0,98001,47.3341,-122.282,1290,7800,Com Porão,12.388398368982115,7.107425474110705,8.996651979432729
20-06-2014,605000.0,4,2,2620,7553,2.0,0,0,3,8,2620,0,1996,0,98056,47.5301,-122.18,2620,11884,Sem Porão,13.312985389904174,7.8713112033234065,8.929832503272403
15-07-2014,625000.0,4,2,2570,5520,2.0,0,0,3,9,2570,0,2000,0,98074,47.6145,-122.027,2470,5669,Sem Porão,13.345508528717259,7.852050207265889,8.616314282284044
11-08-2014,775000.0,4,2,4220,24186,1.0,0,0,3,8,2600,1620,1984,0,98166,47.445,-122.347,2410,30617,Com Porão,13.560619598657233,8.347827345782498,10.093570577723847
07-07-2014,861990.0,5,2,3595,5639,2.0,0,0,3,9,3595,0,2014,0,98053,47.6848,-122.016,3625,5639,Sem Porão,13.667000108756058,8.18757739559151,8.637639344492104
28-10-2014,685000.0,3,1,1570,2280,2.0,0,0,3,7,1570,0,1922,0,98119,47.6413,-122.364,1580,2640,Sem Porão,13.437175577097312,7.359467638255621,7.732369222284388
29-07-2014,309000.0,3,1,1280,9656,1.0,0,0,4,6,920,360,1959,0,98058,47.4485,-122.175,1340,8808,Com Porão,12.6410997921206,7.155396301896734,9.175438319966918
